study_name,specification_name,specification_type,variable_name,correlation,current_accuracy,std_ratio,Glass_delta,n_points,human_std
recommendation systems,GPT5_2025-08-11,GPT5,strategization_type1_TikTok,0.8622762373379853,0.9273504273504274,0.9804915279407753,0.14555989586578255,234,0.06537204504606134
recommendation systems,GPT5_2025-08-11,GPT5,strategization_type2_TikTok,0.8409670171467387,0.9145299145299145,0.9823060116251822,0.17096515123709524,234,0.06537204504606134
recommendation systems,deepseek_2025-08-25,deepseek,pref_control_TikTok,0.7896738573990875,0.7898860398860399,0.7476622206235063,0.9343680966128378,234,0.06537204504606134
recommendation systems,gemini_2025-08-27,gemini,strategization_type1_TikTok,0.7579877667518492,0.8675213675213675,0.9474847084398105,0.26543275128466237,234,0.06537204504606134
recommendation systems,deepseek_2025-08-25,deepseek,pref_control_Netflix,0.7127046170432969,0.7912414965986394,0.7428657085390478,1.0052783280480115,392,0.050507627227610534
hiring algorithms,include_reasoning_temperature_zero_2025-08-20,include_reasoning_temperature_zero,Q6,0.6921792744724404,0.8055555555555556,1.0019170876262435,0.44273909613891965,999,0.03163859985841663
hiring algorithms,temperature_zero_2025-07-31,temperature_zero,Q6,0.6916397534272465,0.7982982982982982,0.9978701243060089,0.4831380080771077,999,0.03163859985841663
hiring algorithms,full_persona_without_reasoning_2025-07-03,full_persona_without_reasoning,Q6,0.6875234197784751,0.7972972972972973,1.0078022846446968,0.4765422673525057,999,0.03163859985841663
recommendation systems,centaur_empty_persona_2025-09-18,centaur_empty_persona,algo_knowledge_Netflix,0.6809521905827746,0.9642857142857143,0.7070709047421101,0.14102617321694982,392,0.050507627227610534
hiring algorithms,with_reasoning_2025-08-01,with_reasoning,Q6,0.6797982760398142,0.7992992992992993,0.9988083736058118,0.44686143409179596,999,0.03163859985841663
recommendation systems,deepseek_2025-08-25,deepseek,strategization_type1_TikTok,0.679539822385787,0.8205128205128205,0.9097065364196809,0.35961856625663946,234,0.06537204504606134
hiring algorithms,GPT5_2025-08-11,GPT5,Q6,0.6770049084463247,0.807057057057057,0.9875524974295514,0.4048135869724572,999,0.03163859985841663
recommendation systems,deepseek_2025-08-25,deepseek,strategization_type2_TikTok,0.6645867164723933,0.8076923076923077,0.9159010210207787,0.38467159028346415,234,0.06537204504606134
hiring algorithms,deepseek_2025-08-25,deepseek,Q6,0.6440756413103605,0.7842842842842843,1.1025021571227485,0.39244657311382813,999,0.03163859985841663
Preferences for redistribution,GPT5_2025-08-11,GPT5,Redistribution 1,0.6431313893860354,0.7827406764960971,1.2784308440755279,0.17751158248561805,1153,0.02945000320268802
hiring algorithms,persona_summary_temperature_zero_2025-08-17,persona_summary_temperature_zero,Q6,0.6406988486546293,0.7817817817817818,1.1077420875697859,0.4287231470991399,999,0.03163859985841663
recommendation systems,centaur_empty_persona_2025-09-18,centaur_empty_persona,algo_knowledge_TikTok,0.6399606936687537,0.9444444444444444,0.6793895515725168,0.18661141529212386,234,0.06537204504606134
hiring algorithms,persona_summary_include_reasoning_temperature_zero_2025-08-21,persona_summary_include_reasoning_temperature_zero,Q6,0.6396234631731882,0.7847847847847848,1.0549100677904542,0.4452124989106453,999,0.03163859985841663
hiring algorithms,persona_summary_include_reasoning_2025-08-21,persona_summary_include_reasoning,Q6,0.6377806153362883,0.784034034034034,1.0588982345047837,0.4377922905954679,999,0.03163859985841663
recommendation systems,demographics_only_temperature_zero_2025-08-18,demographics_only_temperature_zero,strategization_type1_TikTok,0.6374499938933145,0.7948717948717949,0.8842048302391149,0.4109926471504451,234,0.06537204504606134
recommendation systems,demographics_only_2025-07-31,demographics_only,strategization_type1_TikTok,0.6374499938933145,0.7948717948717949,0.8842048302391149,0.4109926471504451,234,0.06537204504606134
hiring algorithms,persona_summary_2025-08-01,persona_summary,Q6,0.6366005640521648,0.779029029029029,1.1117908010835598,0.44273909613891965,999,0.03163859985841663
hiring algorithms,gemini_2025-08-27,gemini,Q6,0.6343027191775724,0.7842842842842843,0.9416387248485164,0.5111699061566668,999,0.03163859985841663
Preferences for redistribution,with_reasoning_2025-08-01,with_reasoning,Redistribution 1,0.6319724987566453,0.7918473547267997,1.2466616932947403,0.11111412033450896,1153,0.02945000320268802
Preferences for redistribution,include_reasoning_temperature_zero_2025-08-20,include_reasoning_temperature_zero,Redistribution 1,0.6300854060456056,0.7853425845620121,1.278622570627186,0.0921434168627637,1153,0.02945000320268802
Privacy,empty_persona_2025-07-22,empty_persona,PPV,0.6249174511496094,0.7490277777777778,0.625682166844034,0.6105151156276788,1200,0.028867513459481284
Privacy,GPT5_2025-08-11,GPT5,PPV,0.6224447112221803,0.7755555555555556,0.9014374380992494,0.4106603916778109,1200,0.028867513459481284
Preferences for redistribution,full_persona_without_resoning_2025-07-06,full_persona_without_reasoning,Redistribution 1,0.6205083978917991,0.779705117085863,1.2911929606612755,0.08672321587083615,1153,0.02945000320268802
Privacy,empty_persona_temperature_zero_2025-08-18,empty_persona_temperature_zero,PPV,0.6203565309257753,0.7441666666666666,0.6097868398575922,0.6226393748105475,1200,0.028867513459481284
Preferences for redistribution,temperature_zero_2025-07-31,temperature_zero,Redistribution 1,0.6148935390479207,0.7753686036426712,1.3084913461952499,0.0921434168627637,1153,0.02945000320268802
Preferences for redistribution,include_reasoning_temperature_zero_2025-08-20,include_reasoning_temperature_zero,Redistribution 2,0.6148673896365806,0.7576486013986015,1.1744369793897853,0.3600886671374612,1144,0.02956561979945413
Privacy,demographics_only_2025-07-31,demographics_only,PPV,0.614384650308191,0.7570833333333333,0.7528488386059125,0.544809452959229,1200,0.028867513459481284
Preferences for redistribution,full_persona_without_resoning_2025-07-06,full_persona_without_reasoning,Redistribution 2,0.6138826486696823,0.7781905594405595,1.120470669120898,0.25353836634455834,1144,0.02956561979945413
Preferences for redistribution,GPT5_2025-08-11,GPT5,Redistribution 2,0.6130427043979667,0.7799388111888113,1.0656785408521345,0.2830643533112662,1144,0.02956561979945413
Preferences for redistribution,temperature_zero_2025-07-31,temperature_zero,Redistribution 2,0.6125932425970537,0.7760052447552448,1.133292518318489,0.24968715065324845,1144,0.02956561979945413
Privacy,demographics_only_temperature_zero_2025-08-18,demographics_only_temperature_zero,PPV,0.6120881385276329,0.7570833333333333,0.747880970561004,0.5455916632290915,1200,0.028867513459481284
Privacy,deepseek_2025-08-25,deepseek,PPV,0.6088709704839053,0.7776388888888889,0.8602801747754318,0.3750698243990671,1200,0.028867513459481284
Preferences for redistribution,demographics_only_temperature_zero_2025-08-18,demographics_only_temperature_zero,Redistribution 1,0.6054863229201402,0.766695576756288,1.3021497056166307,0.15312067802194523,1153,0.02945000320268802
Story Beliefs,persona_summary_temperature_zero_2025-08-17,persona_summary_temperature_zero,Bchap1_val,0.6051798576844116,0.8494123505976096,0.7157046456041045,0.21402881664587675,251,0.06311944030978031
Preferences for redistribution,demographics_only_2025-07-31,demographics_only,Redistribution 1,0.6039017641687809,0.7658282740676496,1.3060034464376404,0.15989592926185425,1153,0.02945000320268802
Preferences for redistribution,persona_summary_include_reasoning_temperature_zero_2025-08-21,persona_summary_include_reasoning_temperature_zero,Redistribution 1,0.6011756289957674,0.7660450997398092,1.2967406085586586,0.1497330524019909,1153,0.02945000320268802
Privacy,persona_summary_include_reasoning_temperature_zero_2025-08-21,persona_summary_include_reasoning_temperature_zero,PPV,0.6009228142469483,0.7531944444444445,0.7601136095339008,0.574533443214004,1200,0.028867513459481284
Preferences for redistribution,with_reasoning_2025-08-01,with_reasoning,Redistribution 2,0.6008199994086876,0.7609265734265734,1.1468246324615843,0.33890698083525767,1144,0.02956561979945413
Privacy,persona_summary_include_reasoning_2025-08-21,persona_summary_include_reasoning,PPV,0.6006298713275823,0.7525,0.764603136764996,0.5733601278092102,1200,0.028867513459481284
Story Beliefs,demographics_only_temperature_zero_2025-08-18,demographics_only_temperature_zero,Bchap1_val,0.5979576338887445,0.8477091633466136,0.655261509274374,0.24414625490643152,251,0.06311944030978031
